district_id,contacted,district_competitiveness
District 539,Not Contacted,0.773019523010281
District 433,Not Contacted,0.740011431569873
District 433,Contacted,0.740011431569873
District 318,Not Contacted,0.65893295004845
District 318,Contacted,0.65893295004845
District 318,Not Contacted,0.65893295004845
District 526,Contacted,0.64166084725625006
District 526,Not Contacted,0.64166084725625006
District 526,Not Contacted,0.64166084725625006
District 526,Contacted,0.64166084725625006
District 466,Contacted,0.656142727750166
District 466,Contacted,0.656142727750166
District 466,Not Contacted,0.656142727750166
District 427,Contacted,0.4004
District 427,Not Contacted,0.4004
District 335,Not Contacted,0.802009390898671
District 335,Not Contacted,0.802009390898671
District 335,Contacted,0.802009390898671
District 335,Not Contacted,0.802009390898671
District 335,Contacted,0.802009390898671
District 335,Contacted,0.802009390898671
District 459,Contacted,0.7411618807898
District 459,Contacted,0.7411618807898
District 459,Contacted,0.7411618807898
District 540,Not Contacted,0.679518524643654
District 540,Contacted,0.679518524643654
District 540,Not Contacted,0.679518524643654
District 540,Contacted,0.679518524643654
District 540,Contacted,0.679518524643654
District 540,Not Contacted,0.679518524643654
District 540,Not Contacted,0.679518524643654
District 550,Not Contacted,0.625876618587666
District 550,Contacted,0.625876618587666
District 451,Contacted,0.762743665156691
District 484,Not Contacted,0.731448948438296
District 484,Not Contacted,0.731448948438296
District 484,Not Contacted,0.731448948438296
District 571,Contacted,0.627319569055598
District 551,Contacted,0.699853360106306
District 551,Not Contacted,0.699853360106306
District 425,Contacted,0.662886679154777
District 425,Contacted,0.662886679154777
District 406,Not Contacted,0.611552682912627
District 419,Not Contacted,0.720966155960899
District 406,Not Contacted,0.611552682912627
District 419,Not Contacted,0.720966155960899
District 522,Not Contacted,0.747494194385629
District 419,Not Contacted,0.720966155960899
District 556,Contacted,0.659151974614138
District 556,Not Contacted,0.659151974614138
District 556,Contacted,0.659151974614138
District 342,Contacted,0.634266636487098
District 557,Not Contacted,0.642720123537991
District 557,Not Contacted,0.642720123537991
District 557,Not Contacted,0.642720123537991
District 567,Not Contacted,0.650273929295812
District 567,Contacted,0.650273929295812
District 567,Not Contacted,0.650273929295812
District 507,Contacted,0.669740335367671
District 507,Not Contacted,0.669740335367671
District 507,Not Contacted,0.669740335367671
District 507,Not Contacted,0.669740335367671
District 507,Not Contacted,0.669740335367671
District 481,Not Contacted,0.733788077680196
District 481,Contacted,0.733788077680196
District 543,Contacted,0.714160664819945
District 543,Contacted,0.714160664819945
District 543,Contacted,0.714160664819945
District 543,Not Contacted,0.714160664819945
District 557,Not Contacted,0.642720123537991
District 557,Contacted,0.642720123537991
District 557,Not Contacted,0.642720123537991
District 557,Not Contacted,0.642720123537991
District 362,Not Contacted,0.739849196709903
District 362,Contacted,0.739849196709903
District 331,Not Contacted,0.678774437547613
District 362,Contacted,0.739849196709903
District 443,Not Contacted,0.717450674883143
District 388,Not Contacted,0.646720992398926
District 388,Not Contacted,0.646720992398926
District 353,Not Contacted,0.611172181074666
District 353,Not Contacted,0.611172181074666
District 546,Not Contacted,0.584809130263676
District 504,Not Contacted,0.58820939618914
District 504,Contacted,0.58820939618914
District 396,Not Contacted,0.851575727959741
District 376,Contacted,0.840535073051726
District 580,Not Contacted,0.75249988739246
District 580,Not Contacted,0.75249988739246
District 416,Not Contacted,0.794977509025399
District 416,Not Contacted,0.794977509025399
District 581,Contacted,0.689764760757722
District 456,Not Contacted,0.843354539350218
District 456,Not Contacted,0.843354539350218
District 456,Not Contacted,0.843354539350218
District 376,Contacted,0.840535073051726
District 376,Not Contacted,0.840535073051726
District 458,Not Contacted,0.653064236111111
District 458,Not Contacted,0.653064236111111
District 381,Not Contacted,0.679861598177538
District 381,Not Contacted,0.679861598177538
District 381,Contacted,0.679861598177538
District 381,Not Contacted,0.679861598177538
District 521,Contacted,0.642269104049314
District 521,Contacted,0.642269104049314
District 521,Contacted,0.642269104049314
District 521,Contacted,0.642269104049314
District 521,Contacted,0.642269104049314
District 399,Not Contacted,0.867521701142886
District 399,Not Contacted,0.867521701142886
District 399,Contacted,0.867521701142886
District 399,Contacted,0.867521701142886
District 399,Contacted,0.867521701142886
District 372,Not Contacted,0.618597446990333
District 372,Not Contacted,0.618597446990333
District 411,Not Contacted,0.783504732204764
District 475,Not Contacted,0.639855860113422
District 475,Not Contacted,0.639855860113422
District 475,Not Contacted,0.639855860113422
District 422,Not Contacted,0.80660447255669
District 490,Contacted,0.631224535989135
District 490,Not Contacted,0.631224535989135
District 337,Not Contacted,0.60265164667001
District 337,Not Contacted,0.60265164667001
District 337,Not Contacted,0.60265164667001
District 337,Not Contacted,0.60265164667001
District 346,Not Contacted,0.839162596954898
District 346,Contacted,0.839162596954898
District 346,Not Contacted,0.839162596954898
District 349,Not Contacted,0.598585733845204
District 319,Not Contacted,0.583957694133976
District 445,Not Contacted,0.632437812838555
District 380,Contacted,0.574522619505318
District 380,Contacted,0.574522619505318
District 531,Contacted,0.691270123808394
District 531,Not Contacted,0.691270123808394
District 531,Contacted,0.691270123808394
District 578,Contacted,0.717050014863258
District 578,Contacted,0.717050014863258
District 347,Not Contacted,0.561516776143891
District 347,Not Contacted,0.561516776143891
District 577,Not Contacted,0.517948053225107
District 408,Contacted,0.754835243739096
District 408,Not Contacted,0.754835243739096
District 549,Contacted,0.765385565991102
District 576,Contacted,0.699857207062331
District 401,Not Contacted,0.550715637606115
District 401,Contacted,0.550715637606115
District 338,Not Contacted,0.630198084743539
District 483,Contacted,0.77962577962578
District 445,Not Contacted,0.632437812838555
District 326,Not Contacted,0.452998170623134
District 326,Not Contacted,0.452998170623134
District 495,Contacted,0.566994297634028
District 495,Not Contacted,0.566994297634028
District 495,Not Contacted,0.566994297634028
District 495,Not Contacted,0.566994297634028
District 444,Contacted,0.476926842292631
District 535,Contacted,0.607549543881724
District 495,Not Contacted,0.566994297634028
District 495,Contacted,0.566994297634028
District 485,Contacted,0.687096774193548
District 371,Not Contacted,0.689839340618098
District 400,Not Contacted,0.599528175850499
District 405,Contacted,0.747115789473684
District 405,Not Contacted,0.747115789473684
District 405,Contacted,0.747115789473684
District 409,Not Contacted,0.804824636295335
District 409,Not Contacted,0.804824636295335
District 412,Not Contacted,0.657150281951771
District 453,Contacted,0.60005077558065
District 574,Not Contacted,0.777297604599595
District 414,Contacted,0.792820102919942
District 414,Not Contacted,0.792820102919942
District 415,Contacted,0.625972803751092
District 415,Contacted,0.625972803751092
District 415,Not Contacted,0.625972803751092
District 415,Not Contacted,0.625972803751092
District 413,Not Contacted,0.61771214083168
District 413,Not Contacted,0.61771214083168
District 383,Not Contacted,0.6265449729503
District 383,Contacted,0.6265449729503
District 383,Not Contacted,0.6265449729503
District 383,Contacted,0.6265449729503
District 383,Not Contacted,0.6265449729503
District 333,Contacted,0.693678828430754
District 409,Not Contacted,0.804824636295335
District 409,Not Contacted,0.804824636295335
District 409,Contacted,0.804824636295335
District 409,Not Contacted,0.804824636295335
District 413,Contacted,0.61771214083168
District 413,Not Contacted,0.61771214083168
District 413,Contacted,0.61771214083168
District 574,Contacted,0.777297604599595
District 574,Contacted,0.777297604599595
District 545,Not Contacted,0.761993679977018
District 545,Not Contacted,0.761993679977018
District 469,Contacted,0.665354761988117
District 467,Not Contacted,0.724516059981649
District 398,Not Contacted,0.794458367245872
District 467,Contacted,0.724516059981649
District 467,Contacted,0.724516059981649
District 518,Not Contacted,0.679860447825217
District 323,Not Contacted,0.657084951556475
District 323,Not Contacted,0.657084951556475
District 323,Not Contacted,0.657084951556475
District 323,Not Contacted,0.657084951556475
District 467,Not Contacted,0.724516059981649
District 467,Not Contacted,0.724516059981649
District 519,Contacted,0.656424178804994
District 471,Not Contacted,0.720058906255474
District 470,Contacted,0.723992942359227
District 470,Not Contacted,0.723992942359227
District 471,Contacted,0.720058906255474
District 471,Not Contacted,0.720058906255474
District 471,Not Contacted,0.720058906255474
District 424,Not Contacted,0.703185865561847
District 424,Not Contacted,0.703185865561847
District 424,Not Contacted,0.703185865561847
District 424,Not Contacted,0.703185865561847
District 519,Not Contacted,0.656424178804994
District 321,Contacted,0.529652460410245
District 321,Not Contacted,0.529652460410245
District 321,Not Contacted,0.529652460410245
District 321,Not Contacted,0.529652460410245
District 321,Not Contacted,0.529652460410245
District 321,Contacted,0.529652460410245
District 363,Not Contacted,0.64290679507097
District 363,Not Contacted,0.64290679507097
District 363,Not Contacted,0.64290679507097
District 449,Not Contacted,0.692573290675017
District 449,Not Contacted,0.692573290675017
District 460,Not Contacted,0.628706809286791
District 460,Not Contacted,0.628706809286791
District 460,Contacted,0.628706809286791
District 460,Contacted,0.628706809286791
District 460,Not Contacted,0.628706809286791
District 558,Not Contacted,0.681755434335682
District 468,Not Contacted,0.673418553239367
District 468,Not Contacted,0.673418553239367
District 468,Not Contacted,0.673418553239367
District 468,Contacted,0.673418553239367
District 468,Not Contacted,0.673418553239367
District 382,Not Contacted,0.656031555880204
District 351,Not Contacted,0.626715715359361
District 420,Not Contacted,0.621597709215005
District 420,Contacted,0.621597709215005
District 420,Not Contacted,0.621597709215005
District 420,Contacted,0.621597709215005
District 329,Not Contacted,0.685603653066836
District 329,Not Contacted,0.685603653066836
District 431,Not Contacted,0.801000283909656
District 431,Contacted,0.801000283909656
District 431,Not Contacted,0.801000283909656
District 431,Contacted,0.801000283909656
District 327,Contacted,0.73620559334845
District 327,Contacted,0.73620559334845
District 327,Contacted,0.73620559334845
District 327,Contacted,0.73620559334845
District 327,Not Contacted,0.73620559334845
District 554,Not Contacted,0.596954301418684
